GCP Label,Filename,Easting,Northing,Elevation (m),image_name,X,Y
POINT_01,DJI_0015.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0015.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0015.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0015.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0015.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0016.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0016.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0016.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0016.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0016.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0017.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0017.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0017.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0017.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0017.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0018.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0018.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0018.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0018.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0018.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0019.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0019.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0019.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0019.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0019.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0020.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0020.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0020.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0020.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0020.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0021.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0021.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0021.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0021.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0021.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0022.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0022.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0022.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0022.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0022.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0023.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
POINT_01,DJI_0023.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0105,,
POINT_01,DJI_0023.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0106,,
POINT_01,DJI_0023.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0107,,
POINT_01,DJI_0023.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0108,,
POINT_01,DJI_0024.JPG,472946.1849	4953066.3993,4953066.3993,243.503,DJI_0104,,
